iter	Passed	Remaining
1189	8670	64193
1190	8677	64178
1191	8685	64175
1192	8693	64173
1193	8702	64185
1194	8710	64180
1195	8719	64182
1196	8726	64174
1197	8734	64171
1198	8740	64158
1199	8748	64156
1200	8755	64144
1201	8762	64137
1202	8769	64129
1203	8777	64121
1204	8783	64109
1205	8789	64091
1206	8796	64081
1207	8802	64068
1208	8811	64067
1209	8817	64056
1210	8824	64046
1211	8832	64041
1212	8838	64029
1213	8846	64026
1214	8854	64020
1215	8861	64012
1216	8868	64004
1217	8875	63995
1218	8882	63986
1219	8891	63989
1220	8899	63983
1221	8907	63986
1222	8923	64042
1223	8933	64050
1224	8942	64054
1225	8950	64056
1226	8957	64048
1227	8965	64041
1228	8971	64028
1229	8978	64020
1230	8985	64005
1231	8992	63999
1232	8999	63990
1233	9007	63986
1234	9014	63979
1235	9022	63971
1236	9028	63962
1237	9035	63950
1238	9043	63945
1239	9050	63935
1240	9057	63929
1241	9065	63923
1242	9072	63915
1243	9079	63908
1244	9085	63893
1245	9093	63885
1246	9100	63880
1247	9108	63879
1248	9117	63882
1249	9125	63877
1250	9132	63868
1251	9140	63864
1252	9147	63859
1253	9154	63847
1254	9161	63839
1255	9168	63831
1256	9176	63829
1257	9184	63823
1258	9192	63819
1259	9199	63813
1260	9207	63807
1261	9214	63800
1262	9221	63794
1263	9228	63784
1264	9235	63769
1265	9242	63761
1266	9249	63755
1267	9257	63748
1268	9264	63740
1269	9272	63736
1270	9278	63723
1271	9286	63718
1272	9294	63716
1273	9301	63708
1274	9308	63700
1275	9317	63701
1276	9326	63706
1277	9333	63695
1278	9341	63693
1279	9350	63698
1280	9358	63694
1281	9365	63689
1282	9372	63679
1283	9379	63672
1284	9387	63669
1285	9394	63655
1286	9401	63647
1287	9408	63636
1288	9416	63633
1289	9423	63624
1290	9430	63617
1291	9438	63611
1292	9445	63604
1293	9452	63598
1294	9460	63592
1295	9467	63586
1296	9474	63576
1297	9481	63568
1298	9489	63562
1299	9496	63554
1300	9503	63544
1301	9510	63535
1302	9521	63554
1303	9529	63552
1304	9537	63545
1305	9544	63539
1306	9552	63531
1307	9558	63518
1308	9565	63512
1309	9572	63502
1310	9579	63488
1311	9585	63471
1312	9593	63469
1313	9599	63458
1314	9605	63442
1315	9612	63431
1316	9619	63423
1317	9626	63413
1318	9633	63406
1319	9640	63394
1320	9647	63387
1321	9654	63376
1322	9661	63368
1323	9670	63367
1324	9677	63362
1325	9685	63356
1326	9691	63341
1327	9699	63339
1328	9705	63325
1329	9715	63331
1330	9724	63335
1331	9732	63332
1332	9738	63320
1333	9745	63312
1334	9753	63303
1335	9759	63291
1336	9766	63282
1337	9774	63276
1338	9781	63269
1339	9788	63260
1340	9795	63253
1341	9803	63246
1342	9809	63234
1343	9816	63223
1344	9823	63212
1345	9831	63210
1346	9839	63206
1347	9845	63194
1348	9853	63189
1349	9860	63178
1350	9867	63168
1351	9874	63158
1352	9880	63147
1353	9887	63140
1354	9894	63128
1355	9902	63124
1356	9910	63119
1357	9930	63194
1358	9938	63194
1359	9948	63199
1360	9956	63196
1361	9968	63218
1362	10008	63421
1363	10022	63454
1364	10048	63565
1365	10062	63600
1366	10079	63654
1367	10091	63679
1368	10103	63700
1369	10111	63697
1370	10120	63695
1371	10129	63702
1372	10138	63701
1373	10146	63698
1374	10153	63690
1375	10162	63690
1376	10169	63683
1377	10177	63676
1378	10184	63667
1379	10191	63657
1380	10198	63649
1381	10205	63642
1382	10213	63638
1383	10221	63630
1384	10228	63625
1385	10235	63610
1386	10241	63600
1387	10249	63592
1388	10256	63586
1389	10263	63576
1390	10270	63567
1391	10278	63558
1392	10285	63553
1393	10293	63544
1394	10299	63533
1395	10308	63531
1396	10314	63518
1397	10325	63533
1398	10346	63609
1399	10368	63693
1400	10386	63747
1401	10398	63770
1402	10407	63774
1403	10415	63766
1404	10422	63759
1405	10429	63748
1406	10436	63740
1407	10443	63727
1408	10449	63712
1409	10456	63704
1410	10464	63699
