"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","文京区","音羽二丁目","","8","9","-31071.2","-9505.4","35.719895","139.728269","1","0","0","0"
"東京都","文京区","音羽二丁目","","3","9","-31173.3","-9497.5","35.718975","139.728358","1","1","0","0"
"東京都","文京区","大塚五丁目","","30","9","-30515.4","-9492.8","35.724905","139.728402","1","1","0","0"
"東京都","文京区","音羽二丁目","","1","9","-31323.0","-9477.8","35.717626","139.728577","1","1","0","0"
"東京都","文京区","音羽一丁目","","17","9","-31448.4","-9483.0","35.716496","139.728521","1","1","0","0"
"東京都","文京区","大塚二丁目","","8","9","-31006.2","-9451.8","35.720482","139.728861","1","1","0","0"
"東京都","文京区","音羽二丁目","","3","9","-31234.4","-9486.7","35.718425","139.728478","1","0","0","0"
"東京都","文京区","関口一丁目","","44","9","-32221.0","-9468.7","35.709532","139.728689","1","1","0","0"
"東京都","文京区","関口三丁目","","4","9","-31913.6","-9463.8","35.712303","139.728739","1","1","0","0"
"東京都","文京区","大塚六丁目","","2","9","-30415.4","-9447.4","35.725807","139.728903","1","0","0","0"
"東京都","文京区","音羽一丁目","","19","9","-31538.5","-9479.7","35.715684","139.728559","1","1","0","0"
"東京都","文京区","大塚五丁目","","13","9","-30509.3","-9423.2","35.724961","139.729171","1","1","0","0"
"東京都","文京区","大塚五丁目","","29","9","-30544.8","-9462.3","35.724641","139.728740","1","1","0","0"
"東京都","文京区","音羽一丁目","","19","9","-31634.7","-9447.6","35.714817","139.728915","1","0","0","0"
"東京都","文京区","大塚二丁目","","6","9","-31052.3","-9463.3","35.720066","139.728734","1","1","0","0"
"東京都","文京区","大塚五丁目","","28","9","-30578.2","-9447.3","35.724340","139.728906","1","1","0","0"
"東京都","文京区","大塚五丁目","","12","9","-30451.7","-9469.7","35.725480","139.728657","1","1","0","0"
"東京都","文京区","大塚二丁目","","3","9","-31294.7","-9449.3","35.717881","139.728892","1","1","0","0"
"東京都","文京区","音羽一丁目","","20","9","-31558.6","-9439.0","35.715503","139.729009","1","1","0","0"
"東京都","文京区","大塚五丁目","","27","9","-30632.1","-9454.3","35.723854","139.728829","1","1","0","0"
"東京都","文京区","大塚五丁目","","12","9","-30431.5","-9461.0","35.725662","139.728752","1","0","0","0"
"東京都","文京区","大塚五丁目","","12","9","-30452.6","-9444.0","35.725472","139.728941","1","0","0","0"
"東京都","文京区","大塚五丁目","","14","9","-30563.5","-9400.4","35.724473","139.729424","1","1","0","0"
"東京都","文京区","関口一丁目","","44","9","-32213.2","-9410.2","35.709603","139.729335","1","0","0","0"
"東京都","文京区","大塚五丁目","","26","9","-30632.1","-9426.5","35.723854","139.729136","1","1","0","0"
"東京都","文京区","大塚五丁目","","11","9","-30466.3","-9413.4","35.725349","139.729279","1","1","0","0"
"東京都","文京区","音羽一丁目","","21","9","-31652.5","-9401.1","35.714657","139.729429","1","1","0","0"
